Categoria;Item;Descrição;Preço (R$);Código;Foto (URL)
Aperitivos;Porção de batata frita;Porção de 500 g;30,00;APR-1;
Aperitivos;Porção de nuggets;Porção de 500 g;30,00;APR-2;
Aperitivos;Amendoim japonês;Porção para petiscar;23,00;APR-3;
Sem álcool;ÁGUA MINERAL;Bebida gelada;12,00;408;https://images.tcdn.com.br/img/img_prod/1211384/agua_c_e_s_gas_1163_1_fc4cdc3610fd9c1ac1f03a7c16898f1d.png
Sem álcool;CHÁ LEÃO;Bebida gelada;14,00;407;https://images.tcdn.com.br/img/img_prod/1211384/cha_leao_1161_1_89bbf519e0cde5fb751a3d53b4f238e4.png
Sem álcool;COCA COLA LATA;Bebida gelada;12,00;409;https://images.tcdn.com.br/img/img_prod/1211384/coca_cola_lata_1165_1_91893630a61e5a185b55f18a9d615b58.png
Sem álcool;ENERGETICO MISTER HEMP  LATA 473 ML;Bebida gelada;23,00;494;https://images.tcdn.com.br/img/img_prod/1211384/energetico_mister_hemp_lata_473_ml_1_20260325210721_5494d33df443.png
Sem álcool;RED BULL´S;Bebida gelada;24,00;410;https://images.tcdn.com.br/img/img_prod/1211384/red_bulls_1167_1_4bed20d0d2d5bd81d25ba8c518beca2f.png
Cervejas e drinks;CERVEJAS;Bebida gelada;24,00;406;https://images.tcdn.com.br/img/img_prod/1211384/cervejas_1159_1_1145572eba3a551efddceb39974a62c6.png
Cervejas e drinks;SMIRNOFF ICE / SKOL BEATS;Bebida gelada;22,00;411;https://images.tcdn.com.br/img/img_prod/1211384/smirnoff_ice_skol_beats_1169_1_14b050029dca838de6f0e3d65aa28d11.png
Garrafas;GARRAFA AUSTERO VINHO;Garrafa fechada;425,00;414;https://images.tcdn.com.br/img/img_prod/1211384/austero_vinho_1175_1_28f32cc913cd73be846cad69b2076d90.png
Garrafas;GARRAFA MAKERS MARK;Garrafa fechada;480,00;416;https://images.tcdn.com.br/img/img_prod/1211384/makers_mark_1179_1_7f9ac8734d3ebdcb94b8b0a429c742c0.png
Garrafas;GARRAFA NEGRONE BOULEVARDIER;Garrafa fechada;270,00;417;https://images.tcdn.com.br/img/img_prod/1211384/negrone_boulevardier_1181_1_298059f0fb48cd425ccb6ae6f77b22e9.png
