Categoria;Item;Descrição;Preço (R$);Código;Foto (URL)
Bebidas;ÁGUA MINERAL;Bebida gelada;12,00;408;https://images.tcdn.com.br/img/img_prod/1211384/agua_c_e_s_gas_1163_1_fc4cdc3610fd9c1ac1f03a7c16898f1d.png
Bebidas;CERVEJAS;Bebida gelada;24,00;406;https://images.tcdn.com.br/img/img_prod/1211384/cervejas_1159_1_1145572eba3a551efddceb39974a62c6.png
Bebidas;CHÁ LEÃO;Bebida gelada;14,00;407;https://images.tcdn.com.br/img/img_prod/1211384/cha_leao_1161_1_89bbf519e0cde5fb751a3d53b4f238e4.png
Bebidas;COCA COLA LATA;Bebida gelada;12,00;409;https://images.tcdn.com.br/img/img_prod/1211384/coca_cola_lata_1165_1_91893630a61e5a185b55f18a9d615b58.png
Bebidas;ENERGETICO MISTER HEMP  LATA 473 ML;Bebida gelada;23,00;494;https://images.tcdn.com.br/img/img_prod/1211384/energetico_mister_hemp_lata_473_ml_1_20260325210721_5494d33df443.png
Bebidas;RED BULL´S;Bebida gelada;24,00;410;https://images.tcdn.com.br/img/img_prod/1211384/red_bulls_1167_1_4bed20d0d2d5bd81d25ba8c518beca2f.png
Bebidas;SMIRNOFF ICE / SKOL BEATS;Bebida gelada;22,00;411;https://images.tcdn.com.br/img/img_prod/1211384/smirnoff_ice_skol_beats_1169_1_14b050029dca838de6f0e3d65aa28d11.png
Destilados e vinhos;GARRAFA AUSTERO VINHO;Garrafa;425,00;414;https://images.tcdn.com.br/img/img_prod/1211384/austero_vinho_1175_1_28f32cc913cd73be846cad69b2076d90.png
Destilados e vinhos;GARRAFA MAKERS MARK;Garrafa;480,00;416;https://images.tcdn.com.br/img/img_prod/1211384/makers_mark_1179_1_7f9ac8734d3ebdcb94b8b0a429c742c0.png
Destilados e vinhos;GARRAFA NEGRONE BOULEVARDIER;Garrafa;270,00;417;https://images.tcdn.com.br/img/img_prod/1211384/negrone_boulevardier_1181_1_298059f0fb48cd425ccb6ae6f77b22e9.png
Tabacos;ACREMA BLEND 20G;Tabaco;35,00;252;https://images.tcdn.com.br/img/img_prod/1211384/acrema_blend_743_1_3b97d1e64a84ec44548c6802fbfa4891.jpeg
Tabacos;AMERICAN SPIRIT 30G;Tabaco;96,00;71;https://images.tcdn.com.br/img/img_prod/1211384/american_spirit_30g_219_1_1e5bec6ebae0eeb049f9c02f3d60815e.jpg
Tabacos;AMSTERDAM 25g;Tabaco;32,00;72;https://images.tcdn.com.br/img/img_prod/1211384/amsterdam_25g_221_1_2c0421cb1307cdf2c16dfa96b4bb6aca.jpeg
Tabacos;BOMBACO BAUNILHA;Tabaco;45,00;502;
Tabacos;BOMBACO CAFÉ CREMA;Tabaco;45,00;501;
Tabacos;BOMBACO TRADICIONAL;Tabaco;45,00;398;https://images.tcdn.com.br/img/img_prod/1211384/bombaco_1141_1_6c5e07b5a198caaa33301d0f2ff6cc57.png
Tabacos;DORA GRAPE  20G;Tabaco D'ORA;37,63;499;
Tabacos;DORA ICE 20G;Tabaco D'ORA;37,63;394;
Tabacos;DORA VANILHA;Tabaco D'ORA;37,63;564;
Tabacos;DRUM ORIGINAL 30G;Tabaco;85,00;73;https://images.tcdn.com.br/img/img_prod/1211384/drum_original_30g_223_1_3aff8041032d29004aa4db5386d1af92.jpeg
Tabacos;HASH 25G;Tabaco;34,00;74;https://images.tcdn.com.br/img/img_prod/1211384/hash_25g_225_1_1f6a4cc2816d06be3a3b547232013397.jpeg
Tabacos;Hi GOLDEN VIRGINIA 35G;Tabaco;48,50;75;https://images.tcdn.com.br/img/img_prod/1211384/hi_35g_227_1_b9bb429e54628953c537e16152def628.jpeg
Tabacos;KIT BOMBACO ESPECIAL;Tabaco;189,90;451;https://images.tcdn.com.br/img/img_prod/1211384/kit_bombaco_especial_1_20251111172424_b538413c0979.jpg
Tabacos;LA REVOLUCION BOLADO;Tabaco NATURE;43,00;490;https://images.tcdn.com.br/img/img_prod/1211384/la_revolucion_bolado_1_20260312171143_be23e67a92d6.jpeg
Tabacos;MAC BAREN GUARANA #30;Tabaco;85,00;500;
Tabacos;RAINBOW ORGANICO 25G;Tabaco;48,00;78;https://images.tcdn.com.br/img/img_prod/1211384/rainbow_organico_25g_237_1_7afa491667783a4b14b56eb77ac2d856.jpg
Tabacos;RAINBOW SILVVER  25G;Tabaco;37,00;77;https://images.tcdn.com.br/img/img_prod/1211384/rainbow_25g_233_1_efa4051bf219f567b64eaa61d74eebc0.jpeg
Tabacos;SASSO GOLD  VIRGINIA BLEND;Tabaco;34,00;293;https://images.tcdn.com.br/img/img_prod/1211384/sasso_virginia_blend_863_1_b9eda36f32aca137498dea1151a4653e.jpeg
Tabacos;YERBINHA 15G;Tabaco ACREMA;17,00;447;https://images.tcdn.com.br/img/img_prod/1211384/yerbinha_15g_1_20251022152041_59c58209ff9d.png
Tabacos;YERBINHA 30 G;Tabaco ACREMA;27,00;505;https://images.tcdn.com.br/img/img_prod/1211384/yerbinha_15g_1_20251022152041_59c58209ff9d.png
Sedas;ALEDA BROWN OURO KING SIZE SLIM;Seda ALEDA KING;13,00;463;https://images.tcdn.com.br/img/img_prod/1211384/seda_aleda_brown_ouro_king_size_slim_1_20251212175748_f40315372b7d.jpg
Sedas;ALEDA KING CELULOSE;Seda;14,00;98;https://images.tcdn.com.br/img/img_prod/1211384/aleda_king_celulose_293_1_391f69b226f8b709491e13356e805099.jpg
Sedas;ALPHA HEMP  SLIM SIZE BROWN;Seda ALPHA STORE;10,00;486;https://images.tcdn.com.br/img/img_prod/1211384/alpha_hemp_brasil_1_20260213151335_1104cd47c474.png
Sedas;CONE RAW - STAGE RAWKET;Seda;90,00;269;https://images.tcdn.com.br/img/img_prod/1211384/cone_raw_stage_rawket_793_1_32b932e56184f3747b62696791b12d84.jpeg
Sedas;CONE RAW / MASCOTTE;Seda;55,00;101;https://images.tcdn.com.br/img/img_prod/1211384/cone_raw_309_1_cdca0510a57a9597086871aa5ebd5477.png
Sedas;HEMP ORGANICA;Seda;8,00;93;https://images.tcdn.com.br/img/img_prod/1211384/hemp_organica_277_1_4dbb188bf492195fc3f47a02d03a8f07.jpeg
Sedas;MASCOTTE AMSTERDAM GENETICS;Seda;13,00;481;https://images.tcdn.com.br/img/img_prod/1211384/mascotte_amsterdam_genetics_1_20260109131944_ca4c2504fa20.png
Sedas;MASCOTTE BROW KING SIZE;Seda;13,00;267;https://images.tcdn.com.br/img/img_prod/1211384/mascotte_brow_king_size_785_1_484ccaf7a27761ac23ee6f2bdb09b292.jpg
Sedas;MASCOTTE BROWN SLIM COMBI;Seda SEDA - MASCOTTE;26,00;259;https://images.tcdn.com.br/img/img_prod/1211384/seda_mascotte_brown_slim_767_1_83ffaa2fe2f84cd1fe6effae419d84bd.jpeg
Sedas;MASCOTTE HEMP TIPS;Seda;24,00;266;https://images.tcdn.com.br/img/img_prod/1211384/mascotte_hemp_tips_783_1_c4dbb2eef3e67db3eb5af6b4814e2261.jpeg
Sedas;PAY PAY GO GREEN;Seda PAY PAY GO GREEN ALFAFA;13,00;96;https://images.tcdn.com.br/img/img_prod/1211384/pay_pay_go_green_alfafa_289_1_b5f8b3305bded5c30ee64d4c8342a1a7.jpeg
Sedas;RAW CLASSIC KING SIZE SLIM;Seda;17,00;160;https://images.tcdn.com.br/img/img_prod/1211384/raw_seda_classic_481_1_873076de10467557094fa52bd41262fd.jpg
Sedas;RAW ROLLS SINGLE WIDE;Seda;35,00;256;https://images.tcdn.com.br/img/img_prod/1211384/raw_rolls_single_wide_757_1_4eae9d487f67475bcfbbc2ae61f2033e.jpeg
Sedas;SEDA  -SADHU LARGE LONGA EVENING;Seda SEDA -SADHU LARGE LONGA;14,00;262;https://images.tcdn.com.br/img/img_prod/1211384/seda_sadhu_large_longa_evening_773_1_47b62bada5d29a38ff05d1d6e9f0d292.jpeg
Sedas;SEDA RAW CLASSIC SINGLE WIDE;Seda;16,00;161;https://images.tcdn.com.br/img/img_prod/1211384/raw_classic_1_4_483_1_55f21047e3ae8d3e46a3eb92d183b5c9.jpg
Sedas;SMOKING DELUXE KING SIZE;Seda SMOKING BROWN;14,00;97;https://images.tcdn.com.br/img/img_prod/1211384/smoking_deluxe_king_size_1_20260216204751_ee13fb6a91b0.jpeg
Filtros;FILTRO LION ROLLING CIRCUS BIODEGRADAVEL;Filtro;24,00;280;https://images.tcdn.com.br/img/img_prod/1211384/lion_rolling_circus_biodegradavel_823_1_b64f358cc48e5950b330a2d60bf98a72.jpeg
Filtros;FILTRO SLOW BURNING EXTRA LONGO;Filtro;35,00;479;https://images.tcdn.com.br/img/img_prod/1211384/filtro_slow_burning_extra_longo_1_20260106134100_32be365adf13.png
Filtros;FILTRO SMOKING SLIM;Filtro;23,00;282;https://images.tcdn.com.br/img/img_prod/1211384/filtro_smoking_slim_831_1_c2b1a1a07158476a4937e05b2d72e494.jpeg
Filtros;GIZEH MENTHOL;Filtro;25,00;437;https://images.tcdn.com.br/img/img_prod/1211384/gizeh_menthol_1233_1_9f13e1f6dd28327b2808ae7c868703e1.png
Filtros;GIZEH XXL SLIM FILTRO LONGO;Filtro;25,00;439;https://images.tcdn.com.br/img/img_prod/1211384/gizeh_xxl_slim_filtro_longo_1_20250827153042_ab5a67ce1d71.png
Filtros;MASCOTTE ACTIVE SLIM;Filtro;29,00;281;https://images.tcdn.com.br/img/img_prod/1211384/mascotte_active_slim_829_1_c0091f029b8762a24349bbfe90d30bca.jpeg
Filtros;RAW SUPER LONGO SL 30;Filtro;55,00;436;https://images.tcdn.com.br/img/img_prod/1211384/raw_super_longo_sl_30_1231_1_4e43e29865e84cc650b1871e74a50691.png
Filtros;SILVER SCREEN FILTERS UN;Filtro HONEYPUFF;30,00;198;https://images.tcdn.com.br/img/img_prod/1211384/silver_screen_filters_un_585_1_769de9c5cd82d3f18801ea1642cc2a84.jpg
